table_name,risk_level,risk_type,observation,recommendation
audit_log,MEDIUM,POSSIBLE_MISSING_FK,"Contains identifier-like columns but no FK parsed: audit_id, actor_employee_id, entity_id, request_id",Validate relationships before using joins or cascading lifecycle operations.
audit_log,MEDIUM,DATE_AS_TEXT,Column action appears temporal but is varchar(60).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
audit_log,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
audit_log_changes,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_amc_mst,MEDIUM,DATE_AS_TEXT,Column CREATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_amc_mst,MEDIUM,DATE_AS_TEXT,Column UPDATED_ON appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_amc_mst,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_checklist_hist,HIGH,NO_PRIMARY_KEY,No primary key found in parsed DDL/ALTER statements.,Do not build write APIs on this table until a stable key strategy is confirmed.
cmms_checklist_hist,MEDIUM,DATE_AS_TEXT,Column CHKL_UPDATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_checklist_hist,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_checklist_mst,MEDIUM,DATE_AS_TEXT,Column CHKL_CREATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_checklist_mst,MEDIUM,DATE_AS_TEXT,Column CHKL_UPDATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_checklist_mst,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_checklist_tasks,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_checklist_tasks_hist,HIGH,NO_PRIMARY_KEY,No primary key found in parsed DDL/ALTER statements.,Do not build write APIs on this table until a stable key strategy is confirmed.
cmms_checklist_tasks_hist,MEDIUM,POSSIBLE_MISSING_FK,"Contains identifier-like columns but no FK parsed: CLTSK_ID, CLTSK_TASKID",Validate relationships before using joins or cascading lifecycle operations.
cmms_checklist_tasks_hist,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_cont_mst,MEDIUM,POSSIBLE_MISSING_FK,"Contains identifier-like columns but no FK parsed: CMM_CONT_ID, CMM_CONT_NABL_CERT_NO",Validate relationships before using joins or cascading lifecycle operations.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_NAME appears temporal but is varchar(200).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_CONTACT_PERSON appears temporal but is varchar(150).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_EMAIL appears temporal but is varchar(150).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_PHONE appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_MOBILE appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_ADDRESS appears temporal but is varchar(500).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_CITY appears temporal but is varchar(100).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_STATE appears temporal but is varchar(100).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
